Concept,Link
Python Programming Beginner Tutorials,https://www.youtube.com/playlist?list=PL-osiE80TeTskrapNbzXhwoFUiLCjGgY7
Python OOP Tutorials - Working with Classes,https://www.youtube.com/playlist?list=PL-osiE80TeTsqhIuOqKhwlXsIBIdSeYtc
Python Beautiful Soup Web Scraping Tutorial,https://www.youtube.com/watch?v=GjKQ6V_ViQE&list=PLFCB5Dp81iNVmuoGIqcT5oF4K-7kTI5vp&index=2
Complete Python NumPy Tutorial,https://www.youtube.com/watch?v=GB9ByFAIAH4&list=PLFCB5Dp81iNVmuoGIqcT5oF4K-7kTI5vp&index=10
Complete Python Pandas Data Science Tutorial,https://www.youtube.com/watch?v=vmEHCJofslg&list=PLFCB5Dp81iNVmuoGIqcT5oF4K-7kTI5vp&index=4
Complete Python Plotting Tutorial w/ Matplotlib & Pandas,https://www.youtube.com/watch?v=0P7QnIQDBJY&list=PLFCB5Dp81iNVmuoGIqcT5oF4K-7kTI5vp&index=7
Flask Tutorials,https://www.youtube.com/playlist?list=PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH
Essence of Linear Algebra,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab
Essence of Caclulus,https://www.youtube.com/playlist?list=PLZHQObOWTQDMsr9K-rj53DwVRMYO3t5Yr
Complete statistics by Krish Naik,https://youtube.com/watch?v=LZzq1zSL1bs
ML Bootcamp,https://www.youtube.com/playlist?list=PLrzE9U41BOPCifLLV67xU0cn37DaU4b_Z
Complete Machine Learning In 6 Hours| Krish Naik,https://www.youtube.com/watch?v=JxgmHe2NyeY
"Deep Learning Indepth Tutorials In 5 Hours With Krish Naik",https://www.youtube.com/watch?v=d2kxUVwWWwU
"Deep Learning With PyTorch - Full Course",https://www.youtube.com/watch?v=c36lUUr864M
"Pytorch RNN example (Recurrent Neural Network)",https://www.youtube.com/watch?v=Gl2WXLIMvKA&list=PLhhyoLH6IjfxeoooqP9rhU3HJIAVAJ3Vz&index=6
"Pytorch Bidirectional LSTM example",https://www.youtube.com/watch?v=jGst43P-TJA&list=PLhhyoLH6IjfxeoooqP9rhU3HJIAVAJ3Vz&index=6
Machine Translation with Seq2Seq Networks,https://www.youtube.com/playlist?list=PLhhyoLH6Ijfyl_VMCsi54UqGQafGkNOQH
NLP Advanced Roadmap,https://www.youtube.com/playlist?list=PLrzE9U41BOPAkOhsVSmav9SAHtqv_qOsZ
Master Transformer Network (BERT) in 18 Hours,https://www.youtube.com/playlist?list=PLxqBkZuBynVQaqvEwN-qAjkNAJ6NgyfcM
My Twiiter,https://twitter.com/Vasanth494949